px_code,description,price
27000063,HC NDL  ILLINOIS JAMSHIDI,198.12
27000065,HC SLING & SWATHE,127.43
27000066,HC STAPLER  12 SHOT,51.23
27000067,HC URINE COLLECTION BAG,18.92
27000068,HC SALEM SUMP DRAIN,12.13
27000069,HC MUCOUS TRAP SUCTION KIT,15.47
27000070,HC TRACH CARE KIT  DISP 7210,24.47
27000071,HC SOLUTION BASIN,8.2
27000072,HC YANKAUER SUCTION,4.39
27000073,HC EDLICH LAVAGE KIT,66.81
27000074,HC BILE BAG,61.61
27000075,HC ARTERIAL NEEDLE  DISP,84.39
27000076,HC GAVAGE BAG  DISP,24.05
27000077,HC RECTAL PROBE,61.16
27000078,HC STOMAHESIVE POWDER,257.5
27000079,HC EYE SHIELD  PLASTIC,10.97
27000080,HC ABDOMINAL BINDER,70.05
27000081,HC FREDDIE-FROG  SPLINT,9.11
27000082,HC CATHETER HOLDER  LEGBAND  ADU,21
27000083,HC CORDIS INTRODUCER  6 FR,278.59
27000084,HC E. T. TUBE,11.9
27000086,HC BODY ALIGNER WEDGE (FOAM),124.61
27000087,HC TUBING  NEONATE 18IN,112.27
27000088,HC FEMOSTOP  COMPRESSION ARCH,778.79
27000089,HC SPLINTSRITE,259.52
27000090,HC IV SP-7 SET,60.33
27000091,HC TUBE  GASTRIC 14FR,197.81
27000092,HC TUBE  GASTRIC 16FR,197.81
27000093,HC TUBE  GASTRIC 18FR,197.81
27000094,HC TUBE  GASTRIC 20FR,197.81
27000095,HC TUBE  GASTRIC 22FR,197.81
27000096,HC TUBE  GASTRIC 24FR,197.81
27000097,HC COOK DRAINAGE SET,763.21
27000098,HC GUIDE WIRE C.S.F. 15-15,78.65
27000099,HC GUIDE WIRE C-DOC 18-50-03,369.99
27000102,HC BOOT  4 MEDICATED GELOCAST,69.7
27000103,HC TUBE  SINGLE CUFFED TRACH,300.03
27000104,HC NO STING SEALANT 1.0 ML,4.49
27000105,HC POUCH; PREMIE 1 1/2,424.73
27000106,HC TELEMETRY POUCH AA BATT.,20.11
27000107,HC WOUND SPONGE - SMALL,373.62
27000108,HC WOUND SPONGE - MEDIUM,471.25
27000109,HC WOUND SPONGE - LARGE,421.74
27000110,HC VAC - CANNISTER,332.6
27000111,HC CUP  010M  VE,323.48
27000112,HC CUP VAC EXTRACTOR,339.5
27000113,HC CHEST DRAINAGE PLEUR-EVAC ADULT/PEDS A-6020-08LF,274.84
27000114,HC AV - IMPULSE FOOT PAD  REG,468.94
27000115,HC AV - IMPULSE FOOT PAD  LARGE,438.26
27000116,HC TRACH CARE KIT  NONDISP 7204,42.12
27000117,HC KIT  REG SUTURE REMOVAL DISP,12.71
27000121,HC WAFFLE FOOT MEDIUM,413.23
27000122,HC BRACE  HINGED KNEE,585.05
27000123,HC POUCH  3804 2.75,7.68
27000124,HC COLLECTOR  WOUND MED,77.19
27000125,HC CERVICAL COLLAR XXLG(27),67.07
27000126,HC TUBE  6 PERC TRACH SZ 6,436.53
27000127,HC TUBE  8 PERC TRACH SZ 8,449.7
27000128,HC SET  CPT CIAGLIA PERC INTRODUC,"1,924.71"
27000129,HC SPLINT  PEDS 6 LEFT OR RIGHT,58.42
27000130,HC BOOT  CAST CHILD,52.51
27000131,HC SPLINT  CHILD ARM,24.93
27000132,HC SPLINT  CHILD ARM X-LG,24.93
27000133,HC SPLINT  CHILD WRIST,59.31
27000134,HC SLING  INFANT,35.89
27000135,HC SPLINT  ELBOW  SMALL,119.06
27000136,HC BOOT  MULTI PODUS  VEFOAM,428.17
27000137,HC MIC TRANSGASTRIC,"1,147.64"
27000138,"HC FEEDING EXT TUBE STRAIGHT 24""",104.76
27000139,HC SALEM SUMP 6 & 8 FR,56.65
27000140,HC ELECTRODE  DEFIB M,312.24
27000141,HC REPOGLE SUCTION TUBE,99.69
27000142,HC NO STING SPRAY,76.38
27000143,HC PROBE  TEMP NBN,40.26
27000144,HC IMMOBILIZER  ELBOW LG,161.26
27000145,HC APRON ACTIVITY RESTRAINT,223.61
27000146,HC RESTRAINT BELT UTILITY 112,128.3
27000147,HC AQUAFLO 3 DISC,39.9
27000148,HC KIT MICROINTRODUCER,470.8
27000149,HC EASY CAP II C02 DETECTOR,103.86
27000150,HC MICROINTRODUCER 4.5 FR,201.97
27000151,HC COVER  SITE-RITE W/GEL,74.54
27000152,HC DRESSING SORBAVIEW 2 1/2 X3,15.63
27000153,HC DRESSING SORBAVIEW 3 X5,19.1
27000154,HC REPLICARE HYDROCOLLAID DSG,28.04
27000155,HC ALGISITE M ALGISITE WD DSG,36.47
27000156,HC INTRASITE GEL APPLIPAK,41.77
27000157,HC ALLEVYN DSG 4X4,30.24
27000158,HC DERMAL WD CLEANSER,43.73
27000159,HC BARRIER OINTMENT,12.58
27000160,HC ELECTRODE  PEDIATRIC 2011 MULT,324.66
27000161,HC TUBE  FEEDING FLEXIFLO 10FR,86.89
27000162,HC PLEURX KIT DRAINAGE,413.23
27000163,HC PROFORE 4 LAYER BANDAGE SYSTEM,117.58
27000165,HC WOUND MANAGER  LG,155.04
27000166,HC WOUND VAC Y  CONNECTOR,21.69
27000167,HC SEAL  EAKIN COHESIVE SM 2,34.27
27000168,HC ADAPTER SPIKE FLUSH BACK,113.65
27000169,HC BAG  URINARY DRAINAGE PEDS,325.74
27000170,HC SPLINT CONFORMABLE 4 X 15,61.73
27000171,HC SPLINT CONFORMABLE 5 X 30,140.36
27000172,HC SPLINT CONFORMABLE 3 X 12,37.75
27000173,HC SET  RADIAL ARTERY 3.0FR 5CM,343.52
27000174,HC VAC SPONG  SOFT FOAM 10X7.5CM,445.82
27000175,HC TUBE TRACH NEO 2.5FR CUSTOM,908.83
27000176,HC ASPIRATOR NASAL 3.25,20.31
27000177,HC SYRINGE MAGNIGUIDE,29.21
27000178,HC SLV SCD KN COMFORT MD,172.96
27000179,HC CATHETER IV INSYTE N24G X .56,26.89
27000180,HC PICC TRIMMER,36.24
27000181,HC CYSTO IRRIGATION SET,64.5
27000182,HC TRACH NEO AIRE-CUFF 4.0,795.44
27000183,HC TRACH PEDS AIRE CUFF 3.5,991.54
27000184,HC TRACH PEDS AIRE CUFF 4.0,"1,060.95"
27000185,HC TRACH PEDS AIRE CUFF 4.5,"1,060.88"
27000186,HC TRACH PEDS AIRE CUFF 5.0,"1,060.95"
27000187,HC TRACH PEDS AIRE CUFF 5.5,"1,060.95"
27000188,HC TUBE ENDOTRACHEAL 3.5 CUFFED,16.03
27000189,HC RX SURGICEL SNOW ABS 4X4,470.78
27000190,HC STOCKING JOBST 20-30MMHG M,397.32
27000191,HC STOCKING JOBST 20-30MMHG LG,397.32
27000192,HC STOCKING JOBST 20-30MMHG XL,325.09
27000193,HC STOCKING JOBST 20-30MMHG XLFC,423.39
27000194,HC TRACH FIXED FLANGE XLT 6 7&8FR,809.06
27000195,HC GEL SILVASORB 1.5GM,183.03
27000198,HC DIFFICULT INTUBATION SUPPLIES,"1,347.61"
27000199,HC INTUBATING SUPPLIES,622.71
27000200,HC DETECTOR C02 EASY CAP II,93.78
27000201,HC WD VAC XL GRANUFOAM DRESSING,871.69
27000202,HC DISC BIOPATCH CHG 4.0MM CENTER HOLE,69.24
27000203,HC TUBE 6.0 HI-LOW EVAC,192.87
27000204,HC TUBE 6.5 HI-LOW EVAC,192.76
27000205,HC DRESSING WND VAC GRANUFOAM MED,549.92
27000206,HC BAGS FLEXI SEAL FECAL COLLECT,52.61
27000207,HC KIT CATHETER SUCTION 12FR,5.31
27000208,HC RX SURG SEAL OMNEX,477.77
27000209,HC TRACHEOSTOMY CUFFLESS SIZE 4,363.25
27000210,HC ZINC OXIDE BARRIER OINTMENT (PEDS),29.55
27000211,HC RES Q POD,707.26
27000212,HC DRESSING CALCIUM ALGINATE 12,26.89
27000213,HC ELECTRODE EAR COUPLER STANDARD,128.52
27000215,HC WD ANTIFUNGAL ALOE VEST 2 OZ,23.42
27000216,HC ELECTRODE PADS AED PLUS,980.4
27000218,HC TRACH TUBE DISP IN CANN 8 X LT,59.54
27000219,HC KIT COOLGARD START UP,"1,043.67"
27000220,HC KIT COOL LINE CATH 9.3FR 220M,"2,657.10"
27000221,HC KIT ICY CATH 9.3FL 300M TL,"4,641.65"
27000222,HC TRACH TUBE DISP IN CANN 6XLT,57.7
27000223,HC TUBING RANGER FLD WARMER STAND,149.48
27000224,HC SPIROMETER DHD,21.92
27000225,HC LONG ARM CAST,270.49
27000226,HC PD CAPD MINICAP,32.88
27000227,HC STOCKING JOBST 30-40 MMHG SM,326.46
27000228,HC TIP CONTROL EVICEL,113.85
27000230,HC STOCKING JOBST 30-40 MMHG XL,202.23
27000231,HC TRANSDUCER SL SAFESET TRANSPAC,204.99
27000232,HC FEEDING EXT TUBE RT ANGLE 2 PT,105.91
27000233,HC COLLAR & CUFF SM/MED,51.35
27000234,HC COLLAR & CUFF MED/LG,51.35
27000235,HC EZ-IO PEDS NEEDLE W/CONNECTOR,913.87
27000236,HC EZ-IO ADULT NEEDLE W/CONNECTOR,913.87
27000237,HC IV SET MASTERFLOW,53.19
27000238,HC KIT DIALYSIS NEEDLE,47.65
27000240,HC SCD SLEEVE XL KL 22-32 CALF,437.08
27000242,HC WD PACK STRIP IODOFORM 1X5 YDS,39.57
27000243,HC WD PACK STRIP PLAIN 5X5 YDS,30.24
27000244,HC WD PACK STRIP IODOFORM 5X5 YDS,34.62
27000245,HC WD PACK STRIP IODOFORM 25X5 YD,19.96
27000246,HC WD PACK STRIP PLAIN 25X5 YDS,31.15
27000247,HC WD IODOSORB CREAM,380.76
27000248,HC WD TEGADERM 1622 13/4 X 13/4,2.44
27000249,HC IVS MICROCLAVE ADAPTER,11.42
27000250,"HC SPLINT KNEE POST-OP 16""",148.52
27000251,HC WD VAC PAD SENSA TRAC,201.86
27000252,HC DRESSING COLLAGEN BIOSTEP AG,186.12
27000253,"HC SPONGE HEMOSTAT ABSORB 2"" X 3""",315.86
27000254,"HC COLLAR PHILADELPHIA 13-15""",145.73
27000255,"HC COLLAR PHILADELPHIA 16-19""",169.84
27000256,"HC COLLAR PHILADELPHIA 10-13""",170.37
27000257,HC COLLAR PHILADELPHIA 19 & UP,169.84
27000258,HC COLLAR PHIL INFANT 1.75X6-8,169.84
27000259,HC DRESSING HEMOSTAT 4X8,439.11
27000260,HC BARI KL XXL REG,60.61
27000261,HC CRYOCUFF COOLER,497.39
27000262,HC SUCTION IN-LINE TRACH 14FR,171.44
27000263,HC SUCTION PEDIATRIC YANKUER,4.62
27000264,HC SENSOR INFANT DISP LNCS,116.8
27000265,HC SENSOR PEDS DISP LNCS,93.46
27000266,HC SENSOR ADULT DISP LNCS,93.47
27000267,HC SENSOR NEO/ADULT DISP LNCS,116.89
27000268,HC CVC KIT QUAD 16CM PRESS,945.6
27000269,HC CVC KIT VESSEL CATH 20X12,225.65
27000270,HC CVC PICC SELDINGER CONVERSION,290.25
27000271,HC BRIDLE AMT NASAL 8FR,736.51
27000272,HC BRIDLE AMT NASAL 10FR,736.67
27000273,HC BRIDLE AMT CLIPS 8FR,244.73
27000274,HC BRIDLE AMT CLIPS 10FR,248.58
27000275,HC ELECTRODE BIPOLAR PACING 6FR,"1,028.31"
27000276,HC SOCK STUMP POST-OP 18X5X4,145.83
27000277,HC SOCK STUMP POST-OP 14X5X13.5,123.23
27000278,HC SOCK STUMP POST-OP 18X8X6,176.59
27000279,HC SOCK STUMP POST-OP 18X9X7,201.01
27000280,"HC HEMOVAC 400ML SNYDER 1/4""",91.51
27000281,HC TRACH TUBE DISP INNER CANN 6FR,33.22
27000282,HC TRACH TUBE DISP INNER CANN 8FR,33.12
27000283,HC TRACH TUBE PEDS 5.0 PEDIATRIC,327.46
27000284,HC TRACH TUBE PEDS 4.0 PEDIATRIC,327.46
27000285,HC TRACH TUBE PEDS 3.5 PEDIATRIC,337.51
27000286,HC TRACH TUBE PEDS 3.0 PEDIATRIC,337.51
27000287,HC TRACH TUBE NEO 3.0 NEONATAL,205.57
27000288,HC TRACH TUBE NEO 3.5 NEONATAL,206.78
27000289,HC TRACH TUBE 6DCT CUFFED LP,393.78
27000290,HC TRACH TUBE 6DFEN CUFFED,514.53
27000291,HC TRACH TUBE 4DFEN CUFFED,412.85
27000292,HC TRACH TUBE 8DFEN CUFFED,424.95
27000293,HC TRACH TUBE 6DFEN CUFFED,406.84
27000294,HC TRACH TUBE 10DFEN CUFFED,238.18
27000295,HC TRACH TUBE 4CFS CUFFED,413.18
27000296,HC TRACH TUBE 6CFS CUFFLESS,413.18
27000297,HC TRACH TUBE 8CFS CUFFED,420.78
27000298,HC SUCT CATH 14FR BALLARD IN-LINE,80.77
27000299,HC STAPLER AUTO SKIN SUTURE 35REG,58.62
27000300,HC STAPLER AUTO SKIN 35 WIDE,58.62
27000302,HC VEST CHEST BINDER MED MALE,53.81
27000303,"HC IMMOBILIZER KNEE POST-OP 22""",195.88
27000304,"HC IMMOBILIZER KNEE POST-OP 24""",211.42
27000305,HC COLLAR CERVICAL FOAM MEDIUM,35.76
27000306,HC COLLAR CERVICAL FOAM LARGE,35.76
27000307,HC COLLAR CERVICAL FOAM X-LARGE,35.89
27000308,HC STRAP CLAVICLE 3-WAY MEDIUM,34.87
27000309,HC IMMOBILIZER SHOULDER - MEDIUM,40.86
27000310,HC IMMOBILIZER SHOULDER - LARGE,35.88
27000311,HC IMMOBILIZER SHOULDER X-LARGE,35.55
27000312,HC SHOE CAST SZ MED,53.08
27000313,HC SHOE CAST SZ LARGE,51.32
27000314,HC SHOE CAST SZ X-L,59.65
27000315,HC SPLINT W & F MEDIUM LEFT,58.03
27000316,HC SPLINT W & F LARGE LEFT,58.03
27000317,HC SPLINT W & F RIGHT LARGE,58.03
27000318,HC SPLINT W & F MEDIUM RIGHT,58.03
27000319,HC SPLINT W & F SMALL RIGHT,58.16
27000320,HC SHOE BUNION MENS MED POST-OP,113.65
27000321,HC SHOE BUNION WOMEN LG POST-OP,113.65
27000322,HC SHOE BUNION WOMEN MED POST-OP,107.07
27000323,HC WD TEGADERM 1624 6X7CM,2.44
27000324,HC WD TEGADERM 1626 10X12CM,6.93
27000325,HC WD TEGADERM 1627 10X25CM,13.27
27000326,HC WD TEGADERM 1628 15X20CM,15.24
27000327,HC SUPPORTER ATHLETIC MED ADULT,61.04
27000328,HC SUPPORTER ATHLETIC LG ADULT,61.04
27000329,HC DRAINAGE SET URINE (BARD URO),39.82
27000330,HC FEEDING SET/GRAVITY,26.66
27000331,HC CHEST TUBE THORA W/TROCAR 16FR,174.45
27000332,HC CHEST TUBE THORA W/TROCAR 28FR,174.54
27000333,HC CHEST TUBE THORA W/TROCAR 32FR,174.54
27000334,HC CHEST TUBE THORA W/TROCAR 24FR,174.54
27000335,HC ARM SLING LARGE,19.47
27000336,HC ARM SLING MEDIUM,24.94
27000337,HC ARM SLING SMALL,24.93
27000338,HC URINE COLLECTION BAG MED LEG,78.23
27000339,HC URINE COLLECTION BAG STD LEG,78.23
27000340,HC CHEST TUBE THORACIC 32FR,67.62
27000341,HC CHEST TUBE THORACIC 28FR,67.62
27000342,HC CHEST TUBE THORACIC 36FR,67.62
27000343,HC SALEM SUMP DRAIN TUBE 14FR,11.78
27000344,HC SALEM SUMP DRAIN TUBE 16FR,11.78
27000345,HC SALEM SUMP DR 18FR W/ANTI-REFL,40.85
27000346,HC PROBE SKIN TEMP CINCINATTI,92.96
27000347,HC SHIELD EYE LEFT,11.43
27000348,HC SPLINT FREDDIE FROG MEDIUM,7.86
27000349,HC ENDOTRACHEAL TUBE 4.5MM,11.12
27000350,HC ENDOTRACHEAL TUBE 2.0MM,10.38
27000351,HC ENDOTRACHEAL TUBE 2.5MM,10.97
27000352,HC ENDOTRACHEAL TUBE 3MM,10.38
27000353,HC ENDOTRACHEAL TUBE 3.5MM,10.38
27000354,HC ENDOTRACHEAL TUBE 6MM W/CUFF,18.11
27000355,HC ENDOTRACHEAL TUBE 6.5MM W/CUFF,17.42
27000356,HC ENDOTRACHEAL TUBE 7MM W/CUFF,18.35
27000357,HC ENDOTRACHEAL TUBE 7.5MM W/CUFF,15.69
27000358,HC ENDOTRACHEAL TUBE 8MM W/CUFF,16.28
27000359,HC ENDOTRACHEAL TUBE 8.5MM W/CUFF,16.29
27000360,HC ENDOTRACHEAL TUBE 5.5MM W/CUFF,17.31
27000361,HC ENDOTRACHEAL TUBE 5MM W/CUFF,18.35
27000362,HC ENDOTRACHEAL TUBE 4.5MM W/CUFF,16.03
27000363,HC ENDOTRACHEAL TUBE 4MM INTERME,16.03
27000364,HC ENDOTRACHEAL TUBE 3MM INTERME,16.03
27000365,HC SPLINTSRITE MEDIUM,242.55
27000366,HC TRACH TUBE SINGLE CUFF #6 6SCT,291.03
27000367,HC TRACH TUBE SINGLE CUFF #7 7SCT,183.93
27000368,HC TRACH TUBE PEDS 5.5,327.46
27000369,HC OST POUCH NEWBORN,262.86
27000370,HC CUP OMNI KIWI EVAC SYSTEM,385.7
27000371,"HC SPLINT WRIST RIGHT PEDS 6""",41.57
27000372,HC SPLINT WRIST MED LEFT ELASTI,71.49
27000373,HC SPLINT WRIST MED RIGHT ELAST,63.47
27000374,HC SPLINT WRIST LG LEFT ELASTIC,44.49
27000375,HC SPLINT WRIST LG RIGHT ELASTI,59.31
27000376,HC BOOT MULTI PODUS VEFOAM SM,428.17
27000377,HC BOOT MULTI PODUS VEFOAM LG,307.95
27000378,"HC FEEDING EXT TUBE 24"" R ANG ADP",105.81
27000379,HC SALEM SUMP DR W/ANTI-REFL 8FR,50.54
27000380,HC REPOGLE SUCTION TUBE 10FR,94.96
27000381,HC PICC INTRODUCER MICRO 5.0FR,503.75
27000382,HC SLV SCD KN COMFORT LG,342.72
27000383,HC TRACH XLT BIVONA 7FR CUFFED,808.67
27000384,HC TRACH XLT BIVIONA 8FR CUFFED,809.06
27000385,HC TED HOSE KNEE REG SMALL,37.39
27000386,HC TED HOSE KNEE REG MEDIUM,37.39
27000387,HC TED HOSE KNEE REG LARGE,37.39
27000388,HC TED HOSE KNEE X-LENGTH SMALL,37.39
27000389,HC TED HOSE KNEE X-LENGTH MED,37.39
27000390,HC TED HOSE KNEE X-LENGTH LARGE,37.39
27000391,HC TED HOSE KNEE X-LENGTH X-LG,37.39
27000392,HC TED HOSE KNEE REG X-LARGE,37.39
27000394,HC IVS STOPCOCK INTRAL 3WAY W/SWI,6.81
27000395,HC IVS DOUBLE FEMALE CONNECTOR,5.54
27000398,HC IVS CLC2000 SWABABLE CONNECTOR,22.47
27000399,HC SYSTEM FERREL VALVE GASTRIC,103.03
27000400,HC SENSOR OXIMETER PURELIGHT,82.02
27000401,HC SYSTEM INTERDRY AG SKIN FOLD,396.47
27000402,HC DRESSING MESALT 8X8,12.71
27000403,HC OINTMENT HYPERGEL 5GM,18.11
27000404,HC BANDAGE PROFORE LITE,117.23
27000405,HC DRESSING MEPILEX TRANSFER 6X6,73.5
27000406,HC DRESSING MEPITEL ONE 4 X 7,103.6
27000407,HC DRESSING ACTICOAT FLEX 4 X 5,74.89
27000408,HC TUBE ET 8.5 SUBGLOTTIC,174.76
27000409,HC TUBE ET 7.5 SUBGLOTTIC,192.87
27000410,HC TUBE ET 8.0 SUBGLOTTIC,193.4
27000411,HC TUBE ET 7.0 SUBGLOTTIC,192.87
27000412,HC FLUID 2.5% 3000ML PD SOL SET,77.64
27000413,HC FLUID 4.25% 3000ML PD SOL SET,49.43
27000414,HC FLUID 1.5% 3000ML PD SOL SET,62.11
27000415,HC FLUID 1.5% 2000ML PD SOL SET,77.19
27000416,HC FLUID 2.5% 2000ML PD SOL SET,72.15
27000417,HC FLUID 1.5% 1500ML PD SOL SET,68.69
27000418,HC FLUID 2.5% 1500ML PD SOL SET,68.69
27000419,HC FLUID 4.25% 2000ML PL SOL SET,77.19
27000420,HC FLUID 4.25% LOW CAL 2500ML SOL,79.26
27000421,HC FLUID 2.5% LOW CAL 2500ML SOL,79.26
27000422,HC FLUID 1.5% LOW CAL 2500ML SOL,79.26
27000423,HC STAY SAFE EXT SET W/SAFELOCK,192.87
27000424,HC CHEST DRAIN SYS DRY ADULT,356.28
27000425,HC KIT CT INSERTION PLEURAGUIDE,707.35
27000426,HC VALVE CHEST DRAIN PNEUMASTAT,378.23
27000428,HC FLD IV MINI 0.9% NACL 100ML,14.43
27000429,HC SENSOR NICOM,707.26
27000430,HC SET IV PRIMARY MACRO GTT BKCK,28.73
27000431,HC SET IV PRIMARY MICRO GTT BKCK,33.46
27000432,HC SET IV PRIMARY BURETROL FILTER,73.15
27000433,HC SET IV PRIMARY TPN 0.22 MICRON,48.46
27000434,HC SET IV SECONDARY,8.86
27000435,HC SET IV BLOOD Y-SET 210 MICRON,59.77
27000436,HC SET IV EXTN FILTER 0.2 MICRON,25.96
27000437,HC SET IV EXTN MACRO 20IN,5.31
27000438,HC SET IV MICRO T-CONNECTOR,21.92
27000439,HC ADAPTER VIAL CLEARLINK,13.51
27000440,HC ADAPTER SPIKE VENTED,12.3
27000441,HC PCH OST OR FECAL,26.08
27000442,HC PCH OST IRR SLEEVE 2.25 IN,107.91
27000443,HC WAFER OST 1 PIEC COLOS/ILEOS,166.24
27000444,HC WAFER OST COLOS 2.25 IN,69.13
27000445,HC WAFER OST COLOS 2.75 IN,69.13
27000446,HC PCH OST COLOS/ILEOS 2.25IN,98.68
27000447,HC PCH OST COLOS 2.75 IN,98.68
27000448,HC PCH OST UROS 2.25 IN,105.25
27000449,HC PASTE OST,26.08
27000450,HC POWDER OST,36.11
27000451,HC SPNG SURGIFOAM ABS SZ 12-7,43.54
27000452,HC WAFER OST 2.25 IN CX,115.06
27000453,HC WAFER OST 2.75 IN CX,115.06
27000454,HC PCH OST 4 IN,251.18
27000455,HC ADAP PD LL BAX TO FRES,160.73
27000456,HC CANST INFOVAC W/GEL 1000ML,493.65
27000457,HC DRSG ALLEVYN GENT BRDR 3 X 3,24.22
27000458,HC DRSG ALLEVYN CMPR 4 X 4,26.43
27000459,HC DRSG ALLEVYN CMPR 6 X 8,250.19
27000460,HC DRSG ALLEVYN GENT BRDR 5 X 5,32.53
27000461,HC DRSG ALLEVYN SACRUM 6 X 6,51.58
27000462,HC DRSG ALLEVYN GENT SACRAL,71.2
27000463,HC DEV FO SECURE ADT 2-WY,34.85
27000464,HC DEV FO SECURE ADT 3-WY,37.84
27000465,HC DEV FO SECURE PED,32.78
27000466,HC SPNG SURGIFOAM ABS SZ 100,197.48
27000467,HC SET ENTERAL FEED E-PUMP SPIKE,19.96
27000468,HC KIT FMS FLEXI-SEAL SIGNAL,976.98
27000469,HC KIT DSG CHANGE CVC LG 12-20FR,118.03
27000470,HC PWDR SURGIFOAM ABS 1GM,234.71
27000471,HC SHORT ARM CAST,239.23
27000472,HC LONG LEG CAST,271.69
27000473,HC SHORT LEG CAST,239.23
27000474,HC POST KNEE SPLINT,97.65
27000479,HC MEDFUSION SET 36,9.69
27000480,HC MEDFUSION SET 90,9.82
27000482,HC SCALP VEIN 21GA X 12,6.93
27000483,HC SCALP VEIN 23GA X 3,9.35
27000484,HC SCALP VEIN 25GA X 3,9.11
27000486,HC Y-TYPE BLOOD SET W/PUMP,51.08
27000487,HC PRIMARY IV SET 60 DROP (11539),51.08
